InstanceIndex,Output,Classification
143,20.75,0
144,29.9,0
145,28.0,0
146,28.0,1
147,26.0,1
148,27.8,0
149,33.400002,0
150,19.6,0
151,25.2,0
152,30.35,0
153,20.1,0
154,28.0,0
155,25.2,0
156,28.299999,0
157,19.85,0
158,23.75,0
159,26.0,1
160,33.400002,0
161,26.0,1
162,19.6,0
163,26.2,1
164,30.35,0
165,21.5,0
166,26.0,1
167,28.0,0
168,23.75,0
169,20.8,0
170,28.299999,0
171,26.0,0
172,19.1,0
173,23.799999,0
174,26.0,0
175,26.0,1
176,29.9,0
177,27.8,0
178,34.200001,0
179,28.450001,0
180,28.0,0
181,27.8,0
182,18.8,0
183,26.2,0
184,28.0,0
185,26.2,0
186,26.2,1
187,29.5,0
188,28.0,0
189,27.8,0
190,32.900002,0
191,26.0,0
192,32.900002,0
193,30.35,0
194,34.599998,0
195,32.650002,0
196,28.0,1
197,22.0,0
198,31.65,0
199,29.9,0
200,21.6,0
201,26.0,1
202,31.65,0
203,26.0,0
204,26.0,0
205,27.8,1
206,34.799999,0
207,29.9,0
208,32.900002,0
209,27.8,1
210,27.8,0
211,27.6,1
212,27.8,0
213,26.0,1
214,26.0,0
215,28.0,1
216,36.599998,0
217,27.0,0
218,28.450001,0
219,23.5,0
220,27.8,1
221,32.700001,0
222,27.8,0
223,32.549999,0
224,27.8,1
225,19.5,0
226,25.2,0
227,28.2,0
228,28.0,0
229,28.450001,0
230,28.0,0
231,18.9,0
232,26.2,0
233,27.8,0
234,28.0,0
235,31.65,0
236,18.1,0
237,26.0,0
238,16.8,0
239,28.450001,0
240,30.35,0
241,25.209999,0
242,31.4,0
243,28.0,0
244,23.5,0
245,27.6,0
246,34.200001,0
247,27.8,0
248,27.8,1
249,22.000999,0
250,28.0,0
251,23.500099,0
252,20.8,0
253,26.0,1
254,26.2,1
255,33.400002,0
256,28.0,0
257,27.8,1
258,28.0,0
259,26.65,0
260,25.8,0
261,26.2,1
262,29.500099,0
263,26.0,0
264,28.0,0
265,30.35,0
266,26.0,0
267,26.0,1
268,28.0,0
269,28.0,0
270,27.8,0
271,23.75,0
272,23.75,0
273,28.0,0
274,28.0,1
275,19.1,0
276,29.500099,0
277,32.650002,0
278,27.8,0
279,28.0,0
280,31.65,0
281,27.8,1
282,27.8,1
283,27.8,0
284,26.0,1
285,27.8,1
286,31.4,0
287,27.0,0
288,27.5,0
289,22.0,0
290,27.8,0
291,28.299999,0
292,34.5,0
293,36.599998,0
294,34.150002,0
295,27.8,1
296,32.549999,0
297,27.6,0
298,19.85,0
299,25.8,0
300,28.0,1
301,28.0,1
302,31.65,0
303,26.2,0
304,20.1,0
305,20.1,0
306,23.75,0
307,27.8,0
308,27.6,1
309,27.8,0
310,28.0,0
311,20.2,0
312,28.0,1
313,27.6,0
314,19.5,0
315,27.8,0
316,17.6,0
317,19.1,0
318,25.200001,0
319,27.8,0
320,20.2,0
321,27.8,0
322,20.75,0
323,32.700001,0
324,26.0,1
325,27.8,1
326,23.75,0
327,33.5,0
328,21.5,0
329,34.599998,0
330,33.400002,0
331,28.0,0
332,28.0,1
333,28.0,0
334,26.2,1
335,19.5,0
336,27.5,0
337,27.8,1
338,34.599998,0
339,29.9,0
340,20.2,0
341,27.8,0
342,32.700001,0
343,22.000999,0
344,28.0,0
345,28.0,0
346,27.8,0
347,28.0,0
348,23.8,0
349,26.0,1
350,19.6,0
351,27.8,0
352,26.0,0
353,24.1,0
354,26.2,1
355,27.8,0
356,27.5,0
357,22.0,0
358,28.0,0
359,25.209999,0
360,27.6,1
361,26.65,0
362,28.0,1
363,27.8,0
364,28.0,0
365,33.400002,0
366,28.0,0
367,27.8,0
368,18.9,0
369,16.8,0
370,21.6,0
371,28.0,0
372,27.8,0
373,27.8,0
374,26.2,1
375,22.000999,0
376,18.8,0
377,26.2,0
378,26.0,1
379,34.200001,0
380,26.2,0
381,27.8,0
382,28.450001,0
383,26.0,0
384,29.5,0
385,23.500099,0
386,27.8,0
387,28.0,0
388,28.299999,0
389,28.0,1
390,19.1,0
391,28.2,0
392,25.2,0
393,27.8,0
394,27.8,0
395,28.0,0
396,27.4,0
397,28.0,1
398,32.900002,0
399,27.8,0
400,23.75,0
401,22.75,0
402,23.6,0
403,26.0,0
404,22.0,0
405,26.2,0
406,27.6,0
407,18.8,0
408,28.0,1
409,26.65,0
410,29.9,0
411,26.0,0
412,20.75,0
413,26.0,1
414,28.0,1
415,28.299999,0
416,20.8,0
417,34.599998,0
418,27.5,0
419,27.8,1
420,28.0,0
421,25.200001,0
422,28.0,1
423,28.0,0
424,27.8,1
425,19.200001,0
426,28.0,1
427,27.8,0
428,19.5,0
429,32.549999,0
430,20.8,0
431,26.2,1
432,27.8,0
433,31.4,0
434,27.8,0
435,31.4,0
436,27.8,1
437,28.0,0
