Input1,Input2,Input3,Input4,Input5,Output
12532.050785306237,-40588.16471222211,11873.381948545924,10129.867381424061,1423.181583741588,34.5
25954.63118439913,-164774.2638005775,-84257.39946021799,3712.8596682711513,-202983.00598859493,34.5
14361.095980428563,-36745.37338610218,23813.580285445885,-25809.419685865512,-43297.96684133572,34.5
88319.01614438405,-416781.16754608764,-99850.04077340107,38604.162235851385,-340840.2884646498,34.5
17963.480362627375,-131904.04782788322,-42655.352373068294,11260.064562437716,-145254.35573967698,34.5
16449.082716384186,-77492.77258990769,2981.9220809604044,-20942.119460332913,-107237.56929286168,34.5
57498.47429959387,-259800.90330170415,-72394.1140367651,42249.20577155602,-263888.48899849696,34.5
17212.804190479805,-95533.5711867026,-5549.062519725886,-22982.437874809053,-151521.7254721865,34.5
27018.67408295629,-283984.17741112626,-96025.10792040436,47729.32980441033,-135451.26909989762,34.5
28768.30247847967,-78897.12427227151,-21874.185451407884,5429.664993217587,-61571.734964244206,34.5
74431.85933345651,-146763.7819591359,34719.628914144996,-20771.187719671612,-51781.36898381899,34.5
178077.37936146642,-734318.9724401032,-395754.36826288694,-606279.2606241732,1708357.493885064,24.100000381469727
118104.18221535372,-249572.84968601406,-15133.690447595964,-183990.3943550492,817872.5009618452,24.100000381469727
37172.89664990974,-77350.20119921736,18734.81270276748,-86344.74257136775,376901.1547005876,24.100000381469727
35409.51247221987,-21438.430176711172,71448.70456840453,-30934.89780024945,289947.74420460366,24.100000381469727
9008.052465653704,-21623.15474547976,44033.80060845717,-24437.225414546272,132909.20381943113,24.100000381469727
53281.269586568655,-357027.7897801895,227862.923747249,-144054.6218744296,1490740.0837822424,24.100000381469727
59385.74887516556,-176592.84340835828,178734.48830731784,-29163.487230278584,1045501.2748413628,24.100000381469727
21717.130206137193,-65627.124357939,85021.47563298277,-89731.06473240803,324930.52733890025,24.100000381469727
23621.069784362608,-50342.32134939588,41714.44913056863,-28141.421505437567,131236.8789371879,24.100000381469727
99574.50588982737,-129685.81488605432,113003.27577726477,-148854.98507360113,-68636.14823805142,31.649999618530273
13366.185448110511,-45051.72734487677,24582.274735037325,-21692.45092542885,-74747.02558588808,31.649999618530273
2563.353156947011,-32082.74923455791,16618.520170332493,-7746.760098001354,-33737.24357578797,31.649999618530273
66051.31049211102,-89871.77957483567,270662.68800857104,-109678.34389377892,-55756.382120063565,31.649999618530273
66595.51814402091,-78198.78256790753,24505.10622368612,-45003.74026267321,-191441.01237123448,31.649999618530273
20973.934556248754,-96881.25543742896,11021.008667667393,-18704.64203470652,-101707.21826725312,31.649999618530273
52475.85377998173,-214610.41886517615,239191.09823951175,-52256.67504730691,-237371.5022799907,31.649999618530273
28770.60335776885,-205816.77049853085,160134.80029910023,-81327.02939796408,-179425.69066944957,31.649999618530273
85870.88673738058,-127008.51465194502,224116.0147278418,11415.347582572847,-100209.4719762304,31.649999618530273
30250.928587035844,-40817.14047797951,34159.32964290069,-39175.68810686173,-160432.65605756288,31.649999618530273
13523.825278156892,-70098.64263650964,24881.376737986808,-26852.13719633701,-72213.02414589113,31.649999618530273
144130.12015404127,53626.09552870897,201642.4310604303,-147535.9073385465,-430203.090374466,31.649999618530273
64263.83599057189,-110930.59540330576,74012.99609151052,-17876.544650709784,-147649.60228458935,31.649999618530273
168779.51461484953,-102160.7799854357,268918.3528671486,-77022.07618093413,-118377.73413171037,31.649999618530273
41118.69166155328,-116828.33484823818,77965.21815903114,-59870.496490534104,-236180.3689781923,31.649999618530273
31996.50032720355,-112067.2817845489,50857.79053879304,-39177.435516163256,-51702.701166988256,31.649999618530273
18677.776676976955,-45812.01267360871,11510.70112632588,-19853.210046171156,-26296.665931679276,31.649999618530273
90749.69204337943,-111022.80393387022,122535.733386055,-135353.50350294707,196615.59424291362,32.70000076293945
