941hz,945hz,949hz,964hz,968hz,1093hz,1113hz,1132hz,1144hz,1148hz,1285hz,1363hz,1437hz,1500hz,1507hz,1519hz,1527hz,1535hz,weight
84839,104776,122195,135973,141540,63228,33895,19100,27796,22030,61234,80496,86362,87550,90348,96205,84484,69528,34.5
3405178,1688525,246792,741356,449304,74056,1071522,356190,55409,358335,94286,92716,132259,132417,63922,146046,115146,15154,24.1
919842,449025,803841,932780,249893,24114,299310,214648,56931,147723,41840,51819,108211,93420,93459,80056,103648,54193,24.1
367005,230281,128491,455897,228415,68016,69864,115803,15759,139166,22237,22554,46150,32437,27308,27494,28818,11847,24.1
229684,36692,371928,332957,89702,21554,70454,93190,16916,71982,15171,9785,28142,23707,27980,22190,32909,18898,24.1
67048,42060,173516,214122,100583,34562,31077,48857,23653,64186,11298,10353,14782,9441,19129,11792,13178,24250,24.1
1996500,1320880,1858213,1975572,649442,202604,1397457,390058,61731,554084,78270,59192,195470,103368,81164,27968,37429,79826,24.1
1132230,573232,1332927,1147024,432193,179707,596838,189996,19751,192318,17347,26590,162340,44597,28866,47417,29686,33597,24.1
309415,255815,221542,370010,204121,62543,209869,169713,19443,141845,15233,15573,18473,19107,14534,20763,23184,12883,24.1
69172,58928,200435,168132,38614,27277,33963,38002,22383,54827,22969,23367,15096,22861,19685,25593,20038,23437,24.1
66189,63913,51486,125720,146639,96901,77502,105142,33463,70696,100538,134226,62775,116549,149957,174639,136044,93576,31.65
4668,7030,14616,19544,8740,4741,19710,8214,6807,6791,3708,5037,4568,33260,134999,269310,220151,114840,31.65
12337,5459,12471,15671,14148,3628,3989,1549,13002,4722,9986,17424,7453,18065,59993,120074,102319,55027,31.65
292622,306140,255821,351586,529404,48240,63847,77728,65549,76225,38580,114502,37008,360721,382589,474167,510900,469091,31.65
14450,6087,11899,16221,17004,6694,70699,31081,14951,10401,24996,18303,21961,23332,328062,788684,663605,358326,31.65
27118,19071,12334,27854,24237,19760,12953,6387,13369,16723,14643,30699,18464,85929,253039,490904,441603,278744,31.65
1580,97078,128119,187145,92841,37500,125201,16883,19240,7266,63379,102399,118759,350538,712110,1112667,904888,527606,31.65
28394,44070,28026,16398,57246,12329,66336,22331,36472,17867,44348,55212,30646,293568,518930,738569,678239,514713,31.65
179323,246721,292641,368718,340859,116006,142964,136439,79976,106781,19725,31050,28562,156408,293029,498897,423489,237416,31.65
13428,15369,21514,52791,41100,20807,41075,27605,3203,17376,23034,27843,12924,80989,292912,552313,486484,312244,31.65
20467,7364,12343,19458,25729,10080,21472,15427,12172,9534,5878,11795,25460,103334,228718,335552,278513,166693,31.65
127914,265280,282739,328225,357941,42197,182596,102953,13167,71849,28859,72261,17643,119783,491428,1151539,1090978,770243,31.65
9568,52281,63754,64151,37721,13018,23514,12076,28148,10160,45016,73704,15281,35433,318130,692005,578559,328316,31.65
84940,113452,162601,335308,368144,103818,53770,116664,109049,149993,112014,108795,134830,108614,245428,446142,347086,145186,31.65
20348,33379,54205,73292,21836,4937,33153,5077,10807,12137,38442,55254,20437,87308,352217,768398,681150,428775,31.65
4947,20289,21222,21306,7318,8980,14417,9754,6822,9517,8223,13782,20156,66477,102634,228405,207015,140606,31.65
16741,11092,13032,16501,11507,8052,10236,9178,13674,8418,8197,5331,7529,22564,47977,113752,105404,66235,31.65
27282,145076,148826,163592,165910,44818,43167,80628,22854,30029,27300,494179,41451,51805,12281,24496,55488,161282,32.700001
8133,54066,51363,74287,89355,19076,23252,18518,7953,26165,20010,194210,67303,42974,40704,62446,19387,108601,32.700001
91653,112330,81728,92397,153314,14288,14248,24501,9569,12168,22459,280280,82106,29561,31823,22483,19572,81357,32.700001
21337,20087,10618,74060,104415,21704,9108,9599,18145,15596,48713,141172,37135,22013,7185,10551,15467,26811,32.700001
83062,90259,84156,92667,44108,13252,12793,13120,7021,27107,13138,128077,26543,31532,29531,22695,26058,50464,32.700001
9637,116023,125971,289337,279922,11342,49213,48934,16098,53012,43165,325653,24877,56963,22093,42345,33138,60316,32.700001
16748,37508,29190,109216,65298,940,20431,17064,22344,8766,14635,335168,44507,21426,20969,11847,19835,17497,32.700001
14976,14528,20836,128598,128282,7032,6261,5876,15263,4607,15590,74236,31953,16177,8260,22376,4662,24509,32.700001
13318,21075,14594,50185,19799,10134,12871,13158,15456,9644,22673,99209,21284,18164,5870,18552,9954,11730,32.700001
21034,124652,114540,97063,58913,18564,19173,15286,15503,8380,5070,569704,96992,37512,49185,34241,51270,111551,32.700001
16139,21173,32257,61393,62648,13482,8007,14019,24439,12988,21947,252147,9545,13669,12508,16249,13294,33881,32.700001
12558,8867,14174,43776,61927,14579,15042,16239,9061,13668,5103,239634,36015,18328,16314,20871,19983,23622,32.700001
877497,417022,11655,123093,265766,71732,77387,126935,28975,66137,53641,139518,121319,174106,231291,180590,352133,370930,32.700001
30319,22555,45394,116020,126095,11801,5969,10338,20356,7695,13913,23149,6526,16715,26667,11563,35796,69312,32.700001
36422,72826,162729,89364,12108,93161,180262,80024,52644,23692,49760,85379,37619,65505,64064,73029,155638,205543,34.150002
34851,116969,205527,61086,23219,15233,18795,9130,20606,8475,35104,46361,28515,26325,27058,37910,75980,98538,34.150002
19141,63008,115534,52309,8552,5179,15639,11577,9309,9449,16273,23645,12612,10170,16993,10475,5448,21026,34.150002
176507,391810,534242,43357,72170,99605,77206,19406,13565,21450,57019,40454,28134,38018,36129,82564,156087,202737,34.150002
84645,73035,105248,82743,22813,11284,6856,15140,14986,12614,38038,45551,10466,30525,47794,32064,68805,84952,34.150002
147169,99747,85620,55455,13661,91537,86176,39890,22050,49166,64891,99668,7589,60777,80834,64504,177172,264272,34.150002
100260,148899,181475,56599,25097,8099,18781,6464,19303,14359,72810,62937,25313,16162,8559,35885,67697,89780,34.150002
145809,301174,398500,34614,91864,267529,72503,13946,58259,13199,145810,40961,59885,55213,39529,33544,64164,124652,34.150002
18308,54666,100895,46851,16945,85304,89855,42197,10062,19907,34361,38685,38522,45255,40195,89631,160011,194305,34.150002
91688,205900,288854,74935,13806,312041,220960,78748,25822,62256,59278,63564,22522,26666,40743,61833,143133,228270,34.150002
12966,51047,86613,23366,15079,16977,20441,11481,14135,12439,27263,18346,5800,25545,24959,36795,60226,70337,34.150002
166980,171299,181505,33633,108358,110051,353522,33585,33043,168203,32964,11233,106177,38391,29305,15403,23757,22758,25.200001
70306,155784,233751,36876,67753,12789,106892,30270,5505,28409,5936,3508,10273,6617,9899,3869,8125,8201,25.200001
120161,218327,261886,87166,21901,22345,100215,10059,15027,26023,14332,15614,7233,23453,12691,21301,20050,12107,25.200001
26406,55060,135457,48454,28181,13269,16577,2124,21649,19474,21179,21895,12263,25070,23009,19302,24781,18109,25.200001
231966,516079,691815,58700,89356,45118,477057,120064,30399,53006,44641,34038,49123,43524,45537,57226,58509,41378,25.200001
19025,140948,297964,71938,52975,29083,120025,17549,31195,36853,37616,38227,11403,41317,40399,41453,47498,34234,25.200001
