InstanceIndex,Output,Classification
123,27.8,1
124,26.2,1
125,28.0,1
126,26.2,1
127,20.100000381469727,1
128,27.6,1
129,25.8,0
130,26.0,1
131,26.2,1
132,27.6,1
133,28.0,1
134,28.0,0
135,27.8,0
136,25.2,0
137,23.500099182128906,1
138,16.8,0
139,36.599998474121094,0
140,26.0,0
141,26.649999618530273,1
142,29.899999618530273,1
143,20.75,1
144,29.899999618530273,1
145,28.0,1
146,28.0,1
147,26.0,1
148,27.8,1
149,33.400001525878906,1
150,19.6,0
151,25.2,1
152,30.350000381469727,0
153,20.100000381469727,1
154,28.0,1
155,25.2,0
156,28.299999237060547,1
157,19.850000381469727,1
158,23.75,1
159,26.0,0
160,33.400001525878906,0
161,26.0,1
162,19.6,0
163,26.2,1
164,30.350000381469727,1
165,21.5,1
166,26.0,1
167,28.0,1
168,23.75,1
169,20.8,0
170,28.299999237060547,1
171,26.0,1
172,19.100000381469727,1
173,23.799999237060547,1
174,26.0,1
175,26.0,0
176,29.899999618530273,1
177,27.8,1
178,34.20000076293945,1
179,28.450000762939453,1
180,28.0,1
181,27.8,1
182,18.8,1
183,26.2,1
184,28.0,0
185,26.2,1
186,26.2,1
187,29.5,1
188,28.0,1
189,27.8,1
190,32.900001525878906,0
191,26.0,1
192,32.900001525878906,0
193,30.350000381469727,0
194,34.599998474121094,1
195,32.650001525878906,1
196,28.0,1
197,22.0,1
198,31.649999618530273,0
199,29.899999618530273,1
200,21.6,1
201,26.0,1
202,31.649999618530273,0
203,26.0,1
204,26.0,1
205,27.8,1
206,34.79999923706055,0
207,29.899999618530273,1
208,32.900001525878906,0
209,27.8,1
210,27.8,1
211,27.6,1
212,27.8,1
213,26.0,1
214,26.0,1
215,28.0,1
216,36.599998474121094,0
217,27.0,1
218,28.450000762939453,1
219,23.5,1
220,27.8,1
221,32.70000076293945,0
222,27.8,0
223,32.54999923706055,0
224,27.8,1
225,19.5,1
226,25.2,0
227,28.2,0
228,28.0,0
229,28.450000762939453,1
230,28.0,1
231,18.899999618530273,1
232,26.2,0
233,27.8,1
234,28.0,1
235,31.649999618530273,1
236,18.100000381469727,1
237,26.0,1
238,16.8,1
239,28.450000762939453,1
240,30.350000381469727,0
241,25.209999084472656,1
242,31.399999618530273,1
243,28.0,1
244,23.5,1
245,27.6,1
246,34.20000076293945,1
247,27.8,1
248,27.8,1
249,22.000999450683594,1
250,28.0,1
251,23.500099182128906,1
252,20.8,0
253,26.0,1
254,26.2,1
255,33.400001525878906,1
256,28.0,1
257,27.8,1
258,28.0,1
259,26.649999618530273,1
260,25.8,1
261,26.2,0
262,29.500099182128906,1
263,26.0,1
264,28.0,1
265,30.350000381469727,1
266,26.0,1
267,26.0,1
268,28.0,1
269,28.0,0
270,27.8,0
271,23.75,0
272,23.75,0
273,28.0,0
274,28.0,1
275,19.100000381469727,1
276,29.500099182128906,1
277,32.650001525878906,1
278,27.8,0
279,28.0,1
280,31.649999618530273,0
281,27.8,1
282,27.8,1
283,27.8,1
284,26.0,1
285,27.8,1
286,31.399999618530273,1
287,27.0,1
288,27.5,1
289,22.0,1
290,27.8,1
291,28.299999237060547,1
292,34.5,1
293,36.599998474121094,1
294,34.150001525878906,1
295,27.8,1
296,32.54999923706055,1
297,27.6,1
298,19.850000381469727,1
299,25.8,1
300,28.0,1
301,28.0,1
302,31.649999618530273,0
303,26.2,1
304,20.100000381469727,1
305,20.100000381469727,1
306,23.75,1
307,27.8,1
308,27.6,1
309,27.8,1
310,28.0,1
311,20.2,0
312,28.0,1
313,27.6,1
314,19.5,1
315,27.8,0
316,17.6,0
317,19.100000381469727,1
318,25.200000762939453,1
319,27.8,1
320,20.2,0
321,27.8,1
322,20.75,1
323,32.70000076293945,0
324,26.0,1
325,27.8,1
326,23.75,0
327,33.5,1
328,21.5,1
329,34.599998474121094,1
330,33.400001525878906,1
331,28.0,1
332,28.0,1
333,28.0,1
334,26.2,1
335,19.5,1
336,27.5,1
337,27.8,1
338,34.599998474121094,1
339,29.899999618530273,1
340,20.2,1
341,27.8,1
342,32.70000076293945,0
343,22.000999450683594,1
344,28.0,1
345,28.0,1
346,27.8,1
347,28.0,0
348,23.8,0
349,26.0,1
350,19.6,0
351,27.8,1
352,26.0,1
353,24.100000381469727,1
354,26.2,1
355,27.8,0
356,27.5,1
357,22.0,1
358,28.0,1
359,25.209999084472656,0
360,27.6,1
361,26.649999618530273,1
362,28.0,0
363,27.8,1
364,28.0,1
365,33.400001525878906,0
366,28.0,1
367,27.8,0
368,18.899999618530273,1
369,16.8,1
370,21.6,0
371,28.0,1
372,27.8,0
373,27.8,1
374,26.2,1
375,22.000999450683594,1
376,18.8,0
377,26.2,1
378,26.0,1
379,34.20000076293945,0
380,26.2,1
381,27.8,1
382,28.450000762939453,1
383,26.0,1
384,29.5,1
