Index,Output,Classification
151,23.5,4
152,34.599998474121094,0
153,28.0,2
154,28.0,3
155,21.6,5
156,32.70000076293945,4
157,28.450000762939453,5
158,26.0,3
159,28.0,2
160,18.100000381469727,4
161,26.0,3
162,16.8,0
163,26.0,3
164,23.5,4
165,20.75,0
166,25.8,3
167,28.0,3
168,28.450000762939453,0
169,17.6,0
170,26.0,3
171,32.70000076293945,0
172,19.850000381469727,0
173,26.0,2
174,26.0,3
175,26.600000381469727,4
176,27.8,2
177,36.599998474121094,0
178,27.8,3
179,27.8,3
180,30.350000381469727,5
181,26.2,3
182,28.0,1
183,26.2,2
184,26.2,2
185,27.399999618530273,0
186,28.0,2
187,27.8,3
188,27.0,4
189,25.2,0
190,32.650001525878906,4
191,22.000999450683594,0
192,18.899999618530273,4
193,19.100000381469727,4
194,28.0,2
195,21.5,4
196,31.399999618530273,4
197,26.600000381469727,4
198,20.2,5
199,26.0,2
200,23.500099182128906,4
201,26.0,2
202,26.0,3
203,27.6,2
204,28.0,2
205,32.54999923706055,0
206,26.600000381469727,5
207,32.650001525878906,0
208,27.6,2
209,27.8,2
210,26.2,3
211,27.8,2
212,25.2,0
213,25.2,0
214,28.0,3
215,18.799999237060547,4
216,19.850000381469727,0
217,32.54999923706055,0
218,34.79999923706055,0
219,27.8,3
220,34.5,0
221,27.8,2
222,20.100000381469727,4
223,27.8,3
224,32.900001525878906,5
225,20.8,0
226,28.0,3
227,28.0,3
228,36.599998474121094,5
229,28.0,3
230,25.209999084472656,4
231,26.0,3
232,27.8,2
233,28.0,3
234,23.500099182128906,4
235,29.899999618530273,0
236,26.0,3
237,23.75,4
238,32.54999923706055,0
239,22.000999450683594,0
240,29.899999618530273,0
241,34.20000076293945,4
242,28.0,3
243,28.450000762939453,0
244,26.2,3
245,27.8,2
246,27.6,2
247,22.75,0
248,28.0,2
249,34.20000076293945,0
250,18.8,0
251,26.0,3
252,26.2,3
253,27.5,4
254,27.8,3
255,27.8,3
256,28.0,2
257,24.700000762939453,4
258,23.8,5
259,26.2,3
260,25.200000762939453,0
261,25.2,0
262,28.0,2
263,22.000999450683594,4
264,26.0,3
265,26.0,2
266,28.0,3
267,28.0,2
268,27.8,2
269,28.450000762939453,5
270,28.450000762939453,0
271,27.8,3
272,28.0,3
273,32.70000076293945,4
274,25.200000762939453,0
275,19.100000381469727,4
276,27.8,2
277,28.0,3
278,31.399999618530273,5
279,27.8,2
280,27.8,0
281,27.6,2
282,25.8,5
283,27.6,2
284,28.299999237060547,4
285,19.100000381469727,4
286,29.899999618530273,4
287,21.5,4
288,27.8,2
289,33.5,4
290,28.0,2
291,18.799999237060547,4
292,24.100000381469727,4
293,27.6,2
294,20.100000381469727,4
295,26.2,2
296,32.70000076293945,4
297,28.0,5
298,23.8,0
299,27.8,3
300,28.0,3
301,23.500099182128906,4
302,26.0,3
303,27.399999618530273,0
304,34.599998474121094,0
305,28.450000762939453,5
306,27.6,2
307,26.2,3
308,27.8,1
309,28.0,2
310,16.8,0
311,28.0,3
312,26.2,3
313,32.900001525878906,4
314,27.8,3
315,30.350000381469727,0
316,32.70000076293945,0
317,31.649999618530273,0
318,27.8,3
319,16.8,0
320,27.8,2
321,24.700000762939453,0
322,34.5,4
323,25.8,0
324,27.8,3
325,28.450000762939453,4
326,19.200000762939453,4
327,20.75,0
328,18.899999618530273,0
329,27.5,4
330,27.8,3
331,27.8,0
332,28.0,2
333,26.0,0
334,32.900001525878906,5
335,29.899999618530273,5
336,27.8,2
337,18.899999618530273,0
338,32.650001525878906,0
339,16.8,5
340,27.8,3
341,34.5,0
342,22.75,4
343,28.0,2
344,28.0,2
345,27.6,2
346,28.0,2
347,20.2,3
348,25.2,0
349,30.350000381469727,5
350,27.8,3
351,26.0,2
352,31.399999618530273,0
353,28.2,2
354,26.0,3
355,27.6,2
356,29.899999618530273,4
357,21.5,0
358,28.0,2
359,19.5,4
360,26.2,2
361,24.700000762939453,4
362,27.8,3
363,27.8,3
364,28.0,2
365,27.5,4
366,28.0,3
367,27.8,3
368,18.100000381469727,4
369,30.350000381469727,5
370,19.6,0
371,27.8,3
372,28.2,2
373,27.8,1
374,27.8,3
375,26.0,3
