InstanceIndex,Output,Classification
593,27.6,0
594,26.2,0
595,31.65,0
596,20.75,0
597,30.35,1
598,18.1,1
599,26.65,1
600,24.1,1
601,28.0,0
602,33.400002,1
603,31.65,0
604,24.4,1
605,26.0,0
606,29.500099,1
607,27.6,0
608,29.9,1
609,21.5,1
610,28.0,0
611,26.0,0
612,26.2,0
613,27.8,0
614,25.2,0
615,29.500099,1
616,34.599998,0
617,26.0,0
618,27.6,0
619,28.0,0
620,22.000999,1
621,27.8,0
622,18.799999,1
623,27.8,0
624,24.1,1
625,33.5,1
626,27.8,0
627,29.500099,0
628,19.6,1
629,27.8,0
630,26.0,0
631,26.6,1
632,22.000999,0
633,26.0,0
634,34.150002,0
635,22.000999,1
636,27.0,1
637,24.4,1
638,28.450001,1
639,26.0,0
640,34.200001,0
641,29.9,0
642,27.6,0
643,22.75,1
644,26.0,0
645,26.2,0
646,19.5,1
647,20.8,1
648,24.700001,1
649,26.2,0
650,18.9,1
651,27.8,0
652,28.0,0
653,20.8,1
654,28.299999,1
655,26.2,0
656,31.4,1
657,28.0,0
658,27.0,1
659,16.8,1
660,32.700001,1
661,16.8,1
662,26.0,0
663,24.700001,1
664,27.8,0
665,19.200001,1
666,26.2,0
667,36.599998,0
668,28.0,0
669,32.650002,0
670,25.8,1
671,33.5,1
672,27.5,1
673,26.0,0
674,23.75,1
675,19.5,1
676,27.6,0
677,29.5,0
678,32.900002,1
679,18.8,0
680,24.4,1
681,29.5,1
682,27.4,0
683,28.0,0
684,27.8,0
685,19.85,1
686,18.1,1
687,19.5,1
688,26.0,0
689,27.6,0
690,26.0,0
691,27.8,0
692,33.400002,0
693,28.0,0
694,25.8,1
695,34.200001,0
696,25.8,1
697,26.0,0
698,26.0,0
699,23.799999,1
700,19.200001,0
701,23.75,1
702,16.8,1
703,28.0,0
704,25.2,1
705,22.75,1
706,36.599998,1
707,30.35,0
708,18.9,1
709,19.6,0
710,27.5,1
711,29.9,0
712,28.0,0
713,30.35,0
714,26.0,0
715,33.400002,1
716,20.8,1
717,27.5,1
718,19.1,1
719,27.6,0
720,21.6,1
721,21.6,1
722,27.4,1
723,23.75,1
724,25.8,1
725,31.4,0
726,19.6,0
727,27.8,0
728,23.500099,1
729,19.85,1
730,28.0,0
731,26.2,0
732,19.1,1
733,34.150002,1
734,25.200001,1
735,34.5,1
736,26.0,0
737,19.85,1
738,18.1,1
739,17.6,1
740,27.6,0
741,27.8,0
742,25.2,0
743,19.85,1
744,28.0,0
745,34.599998,0
746,28.0,0
747,34.799999,0
748,24.4,1
749,33.5,1
750,32.549999,0
751,34.200001,0
752,25.209999,1
753,26.2,0
754,27.8,0
755,25.209999,1
756,34.799999,0
757,34.599998,0
758,26.0,0
759,27.0,1
760,24.4,1
761,33.400002,1
762,29.500099,0
763,18.799999,1
764,27.6,0
765,22.75,1
766,26.0,0
767,26.0,0
768,28.0,0
769,18.799999,1
770,24.700001,1
771,25.2,0
772,27.8,0
773,34.799999,0
774,34.599998,0
775,26.2,0
776,26.0,0
777,26.0,0
778,32.700001,0
779,32.549999,0
780,28.2,0
781,20.8,1
782,27.8,0
783,28.0,0
784,32.549999,1
785,22.000999,1
786,20.8,1
787,30.35,0
788,26.0,0
789,29.5,0
790,28.0,0
791,18.1,1
792,26.2,0
793,18.799999,1
794,26.2,0
795,26.2,0
796,28.0,0
797,19.200001,1
798,26.2,0
799,28.0,0
800,27.8,0
801,28.0,0
802,20.8,1
803,28.0,0
804,28.0,0
805,19.200001,1
806,27.4,1
807,27.8,0
808,16.8,1
809,26.0,0
810,23.6,1
811,27.8,0
812,28.0,0
813,27.8,0
814,20.75,1
815,26.0,0
816,28.2,0
817,26.2,0
818,26.0,0
819,28.0,0
820,31.4,0
821,26.2,0
822,28.450001,1
823,27.6,0
824,27.8,0
825,28.0,0
826,26.0,0
827,17.6,1
828,23.5,1
829,32.650002,1
830,28.0,0
831,19.1,1
832,26.0,0
833,27.6,0
834,32.700001,1
835,24.1,1
836,28.0,0
837,28.299999,0
838,20.1,1
839,25.200001,0
840,26.2,0
841,22.000999,1
842,30.35,0
843,25.2,0
844,26.0,0
845,23.5,1
846,27.8,0
847,27.8,0
848,26.2,0
849,28.0,0
850,29.9,0
851,16.8,1
852,26.0,0
853,19.200001,1
854,26.6,1
855,25.200001,1
856,19.5,1
857,31.65,1
858,25.200001,1
859,29.9,0
860,31.4,0
861,28.0,0
862,27.8,0
863,31.4,0
864,23.75,1
865,25.209999,0
866,26.0,0
867,28.450001,1
868,26.0,0
869,34.799999,0
870,26.0,0
871,28.0,0
872,24.1,1
873,34.150002,1
874,26.2,0
875,26.2,0
876,28.299999,1
877,33.5,1
878,29.9,0
879,27.6,0
880,28.0,0
881,28.299999,1
882,20.2,1
883,26.2,0
884,28.0,0
885,26.2,0
886,27.6,0
887,27.8,0
888,34.200001,0
889,22.000999,1
890,17.6,1
891,26.0,0
892,28.0,0
893,27.5,1
894,20.8,1
895,26.0,0
896,26.0,0
897,27.6,0
898,34.799999,0
899,26.0,0
900,34.599998,0
901,17.6,1
902,26.2,0
903,34.5,1
904,33.5,1
905,32.900002,0
906,19.200001,1
907,25.200001,0
908,26.2,0
909,29.500099,1
910,27.8,0
911,28.0,0
912,19.5,1
913,27.8,0
914,19.5,1
915,27.8,0
916,27.8,0
917,32.900002,0
918,18.8,0
919,27.8,0
920,26.6,0
921,29.9,1
922,23.5,1
923,23.799999,1
924,21.6,1
925,26.0,0
926,26.2,0
927,27.8,0
928,26.0,0
929,19.85,1
930,32.650002,1
931,18.9,0
932,27.6,0
933,28.0,0
934,27.4,1
935,26.2,0
936,28.0,0
937,20.2,1
938,29.500099,0
939,28.0,0
940,20.8,1
941,17.6,1
942,27.6,0
943,32.900002,0
944,26.65,1
945,28.0,0
946,18.1,1
947,19.5,1
948,28.0,0
949,23.500099,1
950,29.5,0
951,26.2,0
952,18.9,1
953,30.35,0
954,26.0,0
955,25.209999,1
956,27.8,0
957,20.8,1
958,26.2,0
959,32.900002,1
960,18.9,1
961,31.4,0
962,23.5,1
963,22.0,1
964,26.0,0
965,28.0,0
966,26.0,0
967,28.0,0
968,32.650002,0
969,27.4,1
970,26.2,0
971,28.0,0
972,27.8,0
973,30.35,1
974,27.8,0
975,28.0,0
976,34.200001,1
977,19.200001,1
978,27.6,0
979,26.0,0
980,29.9,1
981,31.65,0
982,20.2,1
983,28.450001,0
984,27.6,0
985,30.35,0
986,26.65,1
987,28.0,0
988,27.8,0
989,26.2,0
990,16.8,1
991,25.2,1
992,26.0,0
993,20.75,1
994,26.2,0
995,26.0,0
996,20.2,0
997,29.9,0
998,26.6,1
999,27.4,1
1000,20.2,1
1001,28.0,0
1002,33.400002,0
1003,32.900002,1
1004,34.200001,0
1005,26.6,1
1006,26.0,0
1007,27.8,1
1008,27.8,0
1009,33.5,1
1010,32.700001,1
1011,26.0,0
1012,27.8,0
1013,27.5,1
1014,26.0,0
1015,34.200001,0
1016,26.0,0
